full_text,created_at,id
"@LoiraNoob @drkzup @_1viitor @brkklive Po ao meu ver isso ja foi, aconteceu a situação e agora acabou cada um focado no seu para melhorada cada vez mais, se fuca em twt so vai acabar fazendo vcs nunca mais se trocando ideia por causa de pessoas , twt terra de ngm cuidado pra geral, nem aguento mais falarem sobre isso.",2023-04-21 22:48:42+00:00,1649545724604952581
@LoiraNoob @drkzup @_1viitor @brkklive Sentiu pow?,2023-04-21 21:42:10+00:00,1649528981249556481
"@LoiraNoob @_1viitor @brkklive Malena eu não estou inflamando você, estou falando da situação como ocorreu. Eu passei a semana toda propondo as paradas, perguntei se vocês estavam bem com o RP que faríamos e um dia antes estávamos reunindo com o ilegal pra ouvir vocês e melhorar as coisas. Como te expliquei no… https://t.co/W69Z1644mI",2023-04-21 21:22:11+00:00,1649523953151385600
"@LoiraNoob @drkzup @_1viitor @brkklive Psé, o mesmo CEO que reclama de usar Twitter...",2023-04-21 21:12:50+00:00,1649521599815593988
@LoiraNoob @drkzup @_1viitor @brkklive Ele não tão falando isso malena ele tá falando da escolha do novo coronel,2023-04-21 21:11:01+00:00,1649521140488978434
@LoiraNoob @drkzup @_1viitor @brkklive Sai dae suga hype kkkkkkk coronel de merda,2023-04-21 21:10:20+00:00,1649520971852783616
