full_text,created_at,id
@BRKsEDU @switchlifebr The Legend of Zelda Bilada of the Kingdom,2023-04-26 11:11:14+00:00,1651182141802176513
@BRKsEDU @switchlifebr Edu nao subestime o pik! https://t.co/bEhI7hJ265,2023-04-26 00:24:48+00:00,1651019462319931394
"@BRKsEDU Hahhaaha boa! Realmente, seria o fechamento perfeito.

Depois do lançamento vou tentar ver suas gameplays com as reações :D

Inclusive, vc tem o amiibo de Botw! Pretende comprar o novo do Tears of the Kingdom? (aquele do Link com o braço magico)",2023-04-25 23:42:15+00:00,1651008754203099140
