full_text,created_at,id
@LoiraNoob @ominhajoia  olha aí joia,2023-04-19 12:00:36+00:00,1648657849843630080
@LoiraNoob Pode voltar aquela cidade falida la kkk,2023-04-19 11:22:25+00:00,1648648240181460994
@LoiraNoob Estamos com ela viu SENHORITA 👀,2023-04-19 05:36:18+00:00,1648561138878095360
@LoiraNoob Por onde posso assistir sua s livros Malena? faz muito tempo que te acompanhava pelo Youtube e não sabia que você estava fazendo livres descobri agora e quero muito poder ver!,2023-04-19 02:06:33+00:00,1648508352979427328
@LoiraNoob Esse não é aquele colar de Titanic?,2023-04-18 23:48:35+00:00,1648473631922724866
