full_text,created_at,id
@LoiraNoob @MoonKase Oi maaaaaa,2023-04-24 14:42:19+00:00,1650510487853969410
@LoiraNoob @MoonKase Oi malena,2023-04-24 03:12:16+00:00,1650336830896713728
@LoiraNoob @MoonKase Qual das? https://t.co/9NwembhBwl,2023-04-24 01:39:47+00:00,1650313556145872897
@LoiraNoob @MoonKase @MoonKase responde elaaaaaaaaaaaaa,2023-04-24 01:39:23+00:00,1650313452638859265
@LoiraNoob @MoonKase Eai @MoonKase como fica?,2023-04-24 01:38:57+00:00,1650313345356972033
@LoiraNoob @MoonKase uma luta hein,2023-04-24 01:38:48+00:00,1650313308082143234
@LoiraNoob @MoonKase @MoonKase responde ela,2023-04-24 01:38:38+00:00,1650313267393306625
