full_text,created_at,id
@cellbit @spot_desenhador QUE VITÓRIA MEUS AMIGOS,2023-04-12 16:28:52+00:00,1646188647396286465
@cellbit @spot_desenhador LESGOOOO,2023-04-12 16:28:50+00:00,1646188635778084864
@cellbit @spot_desenhador GANHAMO,2023-04-12 16:28:35+00:00,1646188575476662279
@cellbit @spot_desenhador VENCEMO,2023-04-12 16:28:27+00:00,1646188542593318915
@cellbit @spot_desenhador então é canon porra,2023-04-12 16:28:13+00:00,1646188482627354638
@cellbit @spot_desenhador LESGOOOOOOOOOOOPO,2023-04-12 16:28:11+00:00,1646188472267333634
@cellbit @spot_desenhador quero mais dela cellbit pelo amor de Deus,2023-04-12 16:28:09+00:00,1646188464092659712
@cellbit @spot_desenhador justíssimo,2023-04-12 16:27:46+00:00,1646188370639331328
@cellbit @spot_desenhador Eita,2023-04-12 16:27:25+00:00,1646188282231898119
@cellbit @spot_desenhador VENCEMO POHA,2023-04-12 16:27:15+00:00,1646188239106064389
@cellbit @spot_desenhador GANHAMO FAMÍLIA,2023-04-12 16:26:46+00:00,1646188118075228160
@cellbit @spot_desenhador LESGOOO,2023-04-12 16:26:34+00:00,1646188068200759298
@cellbit @spot_desenhador 😲,2023-04-12 16:26:27+00:00,1646188038777716744
@cellbit @spot_desenhador quem não acha?,2023-04-12 16:26:21+00:00,1646188012856922113
@cellbit @spot_desenhador YEEEEEES,2023-04-12 16:26:20+00:00,1646188008704557057
@cellbit @spot_desenhador OOOOOH MA GAD,2023-04-12 16:26:09+00:00,1646187962386862082
