full_text,created_at,id
@LoiraNoob @drkzup @_1viitor @brkklive Aí tu brincou com nos,2023-04-22 11:20:21+00:00,1649734884070440963
@LoiraNoob @drkzup @_1viitor @brkklive Be isso.......,2023-04-22 00:51:53+00:00,1649576725204836352
@LoiraNoob @drkzup @_1viitor @brkklive Aff,2023-04-22 00:21:03+00:00,1649568967319515136
"@LoiraNoob @drkzup @_1viitor @brkklive Não adiante seguir se não vai mudar nada, já foi, já foi... Sem fofoca.",2023-04-21 22:47:50+00:00,1649545506006224900
@LoiraNoob @drkzup @_1viitor @brkklive Aí vc deixa nois curioso kkkkkk,2023-04-21 22:13:29+00:00,1649536863772786690
@LoiraNoob @drkzup @_1viitor @brkklive Ai brincou,2023-04-21 21:53:56+00:00,1649531942080069636
"@LoiraNoob @drkzup @brkklive Se eu soubesse que daria isso tudo nem falava nd, perdao malena e drkz kkkkkkkkk ❤️",2023-04-21 21:44:39+00:00,1649529605068300289
@LoiraNoob @drkzup @_1viitor @brkklive E isso pó uma conversa bem madura,2023-04-21 21:44:29+00:00,1649529564110913542
