full_text,created_at,id
@cellbit @Quackity eu devia estar chorando?,2023-04-29 02:11:50+00:00,1652133558985654273
@cellbit @Quackity RAFAEL ISSO VAI SER INCRIVEL,2023-04-29 02:10:19+00:00,1652133180130861060
@cellbit @Quackity Vivi pra ver o Cellbit gravar outro vídeo de Mine.,2023-04-29 02:04:49+00:00,1652131794790096898
"@cellbit @Quackity TE AMOOOOOO, GRACIAS QUACKITY",2023-04-29 02:04:49+00:00,1652131794232172544
@cellbit @Quackity QUE OI O QUE SEU DESGRAÇADO,2023-04-29 02:04:15+00:00,1652131652519227392
@cellbit @Quackity Cabeludo desgraçado eu tenho ansiedade,2023-04-29 01:59:25+00:00,1652130436368220161
@cellbit @Quackity 🥹🥹🥹🥹,2023-04-29 01:59:15+00:00,1652130393712197634
@cellbit @Quackity https://t.co/urVS0pfvWS,2023-04-29 01:57:11+00:00,1652129871965945863
@cellbit @Quackity oii,2023-04-29 01:52:32+00:00,1652128704355614720
@cellbit @Quackity MEU DEUS,2023-04-29 01:51:43+00:00,1652128497802903557
@cellbit @Quackity Man,2023-04-29 01:48:07+00:00,1652127591812284416
@cellbit @Quackity O oi mais lindo que eu já vi,2023-04-29 01:44:59+00:00,1652126801429233666
@cellbit @Quackity CABELUDO DESGRAÇADL,2023-04-29 01:43:04+00:00,1652126319054934016
@cellbit @Quackity MEU DEUS,2023-04-29 01:38:01+00:00,1652125047669096451
@cellbit @Quackity oi,2023-04-29 01:36:05+00:00,1652124563440893952
@cellbit @Quackity RAFATEL SEU FODIDOOOOOOO,2023-04-29 01:32:10+00:00,1652123578203090944
@cellbit @Quackity me dá um emprego aí na moral,2023-04-29 01:27:56+00:00,1652122512732332032
@cellbit @Quackity oi cellbo,2023-04-29 01:25:47+00:00,1652121969603510275
@cellbit @Quackity oi cellbit voltei aqui pra falar NÃO ESQUECE DE PROMOVER ENIGMA PF FEAR,2023-04-29 01:25:26+00:00,1652121883779768320
@cellbit @Quackity oi,2023-04-29 01:23:46+00:00,1652121463384571904
@cellbit @Quackity OOOOIII😭😊😅🤣😞💀🤤😍🤑☹️😠🙄😟,2023-04-29 01:22:50+00:00,1652121227761254401
@cellbit @Quackity Welcome ❤️,2023-04-29 01:20:58+00:00,1652120758699667456
@cellbit @Quackity oi,2023-04-29 01:19:22+00:00,1652120356172308480
@cellbit @Quackity MDS QUE COLISÃO DE FANDOMS EU VOU EXPLODIR DE FELICIDADE,2023-04-29 01:17:58+00:00,1652120005662715904
@cellbit @Quackity Mi pre adolescencia junto a mi juventud CHAU 😭,2023-04-29 01:17:54+00:00,1652119987430080512
@cellbit @Quackity OI,2023-04-29 01:17:47+00:00,1652119958766092288
"@cellbit @Quackity opa querido, a sua skin é lendária, mas caso queira uma alternativa mais atual, eu faço skins do ordem já fazem uns 200 dias e pouco!

#ordemparanormal
https://t.co/Xzf4u4qEW2",2023-04-29 01:17:12+00:00,1652119813009940482
@cellbit @Quackity eu te amo,2023-04-29 01:17:03+00:00,1652119774548090882
@cellbit @Quackity https://t.co/pPvPT2dduj,2023-04-29 01:16:25+00:00,1652119615189798912
